date,rank,song,artist,last_week,peak_rank,weeks_on_board,year,decade,mb_id,mb_title,mb_artist,mb_country,mb_date,mb_score,billboard_index,text_chunk
1983-02-05,96,Truly,Lionel Richie,87.0,1,18,1983,1980,6d019ed5-e343-4750-a7f5-5e6097120c68,Truly,Lionel Richie,GB,2003-12-01,100.0,188,'Truly' by Lionel Richie (1983). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2003-12-01. Match confidence: 100/100
1989-07-08,1,Good Thing,Fine Young Cannibals,2.0,1,10,1989,1980,31a38c75-89a0-408b-86e2-7d27ca2dc7e7,Good Thing,Fine Young Cannibals,FR,1997,100.0,189,'Good Thing' by Fine Young Cannibals (1989). Billboard Hot 100 peak: #1. Country of origin: FR. Release date: 1997. Match confidence: 100/100
1972-11-25,32,My Ding-A-Ling,Chuck Berry,14.0,1,17,1972,1970,e228ff1d-ee0e-4e1f-bb1f-0b6ef170117e,My Ding a Ling,Chuck Berry,,,100.0,190,'My Ding-A-Ling' by Chuck Berry (1972). Billboard Hot 100 peak: #1. Match confidence: 100/100
1990-12-01,1,I'm Your Baby Tonight,Whitney Houston,3.0,1,7,1990,1990,72383122-0135-4df8-89ad-ef529301c5f0,I'm Your Baby Tonight,Whitney Houston,AU,1994,100.0,191,'I'm Your Baby Tonight' by Whitney Houston (1990). Billboard Hot 100 peak: #1. Country of origin: AU. Release date: 1994. Match confidence: 100/100
1973-08-04,1,The Morning After,Maureen McGovern,9.0,1,7,1973,1970,05f2f9dc-732d-44ac-a54d-823916b96e20,The Morning After,Maureen McGovern,US,1975,100.0,192,'The Morning After' by Maureen McGovern (1973). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1975. Match confidence: 100/100
1982-11-13,100,Hard To Say I'm Sorry,Chicago,84.0,1,24,1982,1980,0b746155-4087-44fc-900b-6adb8d65a825,Hard to Say I’m Sorry,Chicago,GB,,100.0,193,'Hard To Say I'm Sorry' by Chicago (1982). Billboard Hot 100 peak: #1. Country of origin: GB. Match confidence: 100/100
1982-11-13,99,Abracadabra,The Steve Miller Band,83.0,1,25,1982,1980,,,,,,,194,'Abracadabra' by The Steve Miller Band (1982). Billboard Hot 100 peak: #1
1982-11-20,93,Eye Of The Tiger,Survivor,75.0,1,25,1982,1980,89c3cfdb-3990-4a9a-bc52-a0b723e54bd5,Eye of the Tiger,Survivor,GB,2005-06-06,100.0,195,'Eye Of The Tiger' by Survivor (1982). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2005-06-06. Match confidence: 100/100
1989-07-15,1,If You Don't Know Me By Now,Simply Red,3.0,1,11,1989,1980,37af9a6e-f6fa-4b8c-86af-f32b0b596f17,If You Don’t Know Me by Now,Simply Red,XE,2018-11-23,100.0,196,'If You Don't Know Me By Now' by Simply Red (1989). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 2018-11-23. Match confidence: 100/100
1963-03-02,42,Go Away Little Girl,Steve Lawrence,20.0,1,17,1963,1960,3b4f2af5-3156-4663-8d5f-3c8a7a895f2d,Go Away Little Girl,Steve Lawrence,US,2024-03-01,100.0,197,'Go Away Little Girl' by Steve Lawrence (1963). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2024-03-01. Match confidence: 100/100
1966-12-10,47,Reach Out I'll Be There,Four Tops,38.0,1,15,1966,1960,6a1deece-9f8b-4482-96b1-af2c50aeba9a,"Reach Out, I’ll Be There",Four Tops,GB,2001-05-22,100.0,198,'Reach Out I'll Be There' by Four Tops (1966). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2001-05-22. Match confidence: 100/100
1966-12-10,41,96 Tears,? (Question Mark) & The Mysterians,18.0,1,15,1966,1960,,,,,,,199,'96 Tears' by ? (Question Mark) & The Mysterians (1966). Billboard Hot 100 peak: #1
1975-05-03,41,Lady Marmalade,Labelle,23.0,1,18,1975,1970,c01749b9-6da9-42fe-8c18-d8ab4d874fed,Lady Marmalade,LaBelle,,,100.0,200,'Lady Marmalade' by Labelle (1975). Billboard Hot 100 peak: #1. Match confidence: 100/100
1969-02-01,1,Crimson And Clover,Tommy James And The Shondells,2.0,1,8,1969,1960,d7e1b546-3fc5-4bd0-9fbc-774156de12d4,Crimson & Clover,Tommy James & the Shondells,US,1981,100.0,201,'Crimson And Clover' by Tommy James And The Shondells (1969). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1981. Match confidence: 100/100
1967-07-01,1,Windy,The Association,4.0,1,6,1967,1960,ca6049b4-69e5-416f-a56c-1b41f9c3428a,Windy,The Association,US,2021,100.0,202,'Windy' by The Association (1967). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2021. Match confidence: 100/100
1985-04-13,1,We Are The World,USA For Africa,2.0,1,4,1985,1980,94f5e5cc-d1de-454c-b50f-8d2e4b28f22a,We Are the World,USA for Africa,DE,2006-01,100.0,203,'We Are The World' by USA For Africa (1985). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 2006-01. Match confidence: 100/100
1964-07-11,24,Love Me Do,The Beatles,19.0,1,14,1964,1960,4ff8b747-90b3-4378-baf6-4b26e7c32ad8,Love Me Do,The Beatles,,,100.0,204,'Love Me Do' by The Beatles (1964). Billboard Hot 100 peak: #1. Match confidence: 100/100
1982-12-18,96,Jack & Diane,John Cougar,85.0,1,22,1982,1980,2be174dd-6aaf-4991-b0d2-d8e821dc1404,Jack & Diane,John Cougar,GB,1982,100.0,205,'Jack & Diane' by John Cougar (1982). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 1982. Match confidence: 100/100
1973-07-21,1,"Bad, Bad Leroy Brown",Jim Croce,3.0,1,14,1973,1970,b3e5e861-56f1-48a0-af72-5811843dbd76,"Bad, Bad Leroy Brown",Jim Croce,US,2006-01-31,100.0,206,"'Bad, Bad Leroy Brown' by Jim Croce (1973). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2006-01-31. Match confidence: 100/100"
1963-08-03,50,It's My Party,Lesley Gore,27.0,1,13,1963,1960,df314ccf-6a9f-48f5-84c2-6b45ea793172,It's My Party,Lesley Gore,,,100.0,207,'It's My Party' by Lesley Gore (1963). Billboard Hot 100 peak: #1. Match confidence: 100/100
1975-04-26,72,My Eyes Adored You,Frankie Valli,36.0,1,23,1975,1970,a672c189-31d4-4c57-96f2-8f561903c197,My Eyes Adored You,Frankie Valli,GB,2009-02-02,100.0,208,'My Eyes Adored You' by Frankie Valli (1975). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2009-02-02. Match confidence: 100/100
1961-10-09,63,Wooden Heart,Joe Dowell,37.0,1,16,1961,1960,bf373df5-a6fc-4785-8118-674c5c0adc9d,Wooden Heart,Joe Dowell,US,1961-06,100.0,209,'Wooden Heart' by Joe Dowell (1961). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1961-06. Match confidence: 100/100
1964-11-28,1,Leader Of The Pack,The Shangri-Las,2.0,1,8,1964,1960,37179481-40af-43db-b314-7feed6b2f0e4,Leader of the Pack,The Shangri‐Las,US,1997-03-18,100.0,210,'Leader Of The Pack' by The Shangri-Las (1964). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1997-03-18. Match confidence: 100/100
1962-04-21,1,Good Luck Charm,Elvis Presley With The Jordanaires,2.0,1,6,1962,1960,,,,,,,211,'Good Luck Charm' by Elvis Presley With The Jordanaires (1962). Billboard Hot 100 peak: #1
1985-05-18,1,Don't You (Forget About Me),Simple Minds,3.0,1,13,1985,1980,331f0fb7-930d-446d-98e0-16f46835ae2a,Don’t You (Forget About Me),Simple Minds,JP,1998-08-26,100.0,212,'Don't You (Forget About Me)' by Simple Minds (1985). Billboard Hot 100 peak: #1. Country of origin: JP. Release date: 1998-08-26. Match confidence: 100/100
1976-05-08,1,Welcome Back,John Sebastian,4.0,1,7,1976,1970,20026709-cdc3-4054-b760-eb6138ccc920,Welcome Back,John Sebastian,NL,2001,100.0,213,'Welcome Back' by John Sebastian (1976). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 2001. Match confidence: 100/100
1985-05-11,1,Crazy For You,Madonna,2.0,1,11,1985,1980,36368529-afe1-4a00-abeb-e8e907baf01a,Crazy for You,Madonna,DZ,2019-02-22,100.0,214,'Crazy For You' by Madonna (1985). Billboard Hot 100 peak: #1. Country of origin: DZ. Release date: 2019-02-22. Match confidence: 100/100
1976-05-01,1,Let Your Love Flow,Bellamy Brothers,2.0,1,14,1976,1970,23547372-4aca-4ffe-82ec-b46c1093d761,Let Your Love Flow,Bellamy Brothers,XW,2020-07-24,100.0,215,'Let Your Love Flow' by Bellamy Brothers (1976). Billboard Hot 100 peak: #1. Country of origin: XW. Release date: 2020-07-24. Match confidence: 100/100
1964-07-11,45,My Guy,Mary Wells,29.0,1,15,1964,1960,ef6a59fa-0740-4578-9827-f5b94d644f78,My Guy,Mary Wells,NL,,100.0,216,'My Guy' by Mary Wells (1964). Billboard Hot 100 peak: #1. Country of origin: NL. Match confidence: 100/100
1964-07-11,44,"Hello, Dolly!",Louis Armstrong And The All Stars,34.0,1,22,1964,1960,53b6218f-8017-443c-a1d4-3578a23c9c82,"Hello, Dolly!",Louis Armstrong and the All‐Stars,US,2014,100.0,217,"'Hello, Dolly!' by Louis Armstrong And The All Stars (1964). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2014. Match confidence: 100/100"
1966-03-05,48,We Can Work It Out,The Beatles,24.0,1,12,1966,1960,de545445-04e4-4070-9af7-c03757fab418,We Can Work It Out,The Beatles,,,100.0,218,'We Can Work It Out' by The Beatles (1966). Billboard Hot 100 peak: #1. Match confidence: 100/100
1962-11-24,47,Sherry,The 4 Seasons,34.0,1,14,1962,1960,3257fa38-692b-47af-ac59-6d551482550c,Sherry,The 4 Seasons,CA,2021-11-12,100.0,219,'Sherry' by The 4 Seasons (1962). Billboard Hot 100 peak: #1. Country of origin: CA. Release date: 2021-11-12. Match confidence: 100/100
1971-09-04,27,Indian Reservation (The Lament Of The Cherokee Reservation Indian),The Raiders,19.0,1,22,1971,1970,0fdf1e2b-5eac-44bd-84fa-2d1baf28ac94,Indian Reservation (The Lament of the Cherokee Reservation Indian),The Raiders,US,1998-06-16,100.0,220,'Indian Reservation (The Lament Of The Cherokee Reservation Indian)' by The Raiders (1971). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1998-06-16. Match confidence: 100/100
1971-09-04,22,You've Got A Friend,James Taylor,14.0,1,14,1971,1970,eaff6b58-8a5f-4687-8c30-e028890088fc,You’ve Got a Friend,James Taylor,CA,1993-08-10,100.0,221,'You've Got A Friend' by James Taylor (1971). Billboard Hot 100 peak: #1. Country of origin: CA. Release date: 1993-08-10. Match confidence: 100/100
1972-02-12,1,Let's Stay Together,Al Green,2.0,1,11,1972,1970,71629b74-ff6a-4b2c-8a91-a5baf62ee578,Let’s Stay Together,Al Green,GB,2008-02-04,100.0,222,'Let's Stay Together' by Al Green (1972). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2008-02-04. Match confidence: 100/100
1969-02-15,1,Everyday People,Sly & The Family Stone,2.0,1,12,1969,1960,2581f56a-f7b5-4696-83f0-4ac72f088935,Everyday People,Sly & the Family Stone,,,100.0,223,'Everyday People' by Sly & The Family Stone (1969). Billboard Hot 100 peak: #1. Match confidence: 100/100
1969-03-15,1,Dizzy,Tommy Roe,4.0,1,7,1969,1960,d5f10cca-ed23-421c-8c67-5cb30f64f371,Dizzy,Tommy Roe,US,1987,100.0,224,'Dizzy' by Tommy Roe (1969). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1987. Match confidence: 100/100
1976-05-29,1,Love Hangover,Diana Ross,2.0,1,9,1976,1970,6476a2b6-e163-4ceb-b062-b677d1068e7f,Love Hangover,Diana Ross,FR,1988,100.0,225,'Love Hangover' by Diana Ross (1976). Billboard Hot 100 peak: #1. Country of origin: FR. Release date: 1988. Match confidence: 100/100
1961-09-25,52,Tossin' And Turnin',Bobby Lewis,16.0,1,23,1961,1960,f63a4089-2f33-4337-a4f1-bca974bf67e0,Tossin' and Turnin',Bobby Lewis,DE,1989,100.0,226,'Tossin' And Turnin'' by Bobby Lewis (1961). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 1989. Match confidence: 100/100
1967-05-20,33,Happy Together,The Turtles,16.0,1,15,1967,1960,051c252d-7a25-4a88-9de5-c6cc0d64ce46,Happy Together,The Turtles,,,100.0,227,'Happy Together' by The Turtles (1967). Billboard Hot 100 peak: #1. Match confidence: 100/100
1964-02-01,1,I Want To Hold Your Hand,The Beatles,3.0,1,3,1964,1960,55bd821c-36c5-41c1-b37c-22e28c4ded69,I Want to Hold Your Hand,The Beatles,,,100.0,228,'I Want To Hold Your Hand' by The Beatles (1964). Billboard Hot 100 peak: #1. Match confidence: 100/100
1985-06-08,1,Everybody Wants To Rule The World,Tears For Fears,2.0,1,13,1985,1980,c5cd48f3-cc5b-4e75-bd1b-b2753592c9d6,Everybody Wants to Rule the World,Tears for Fears,ES,2005-03-30,100.0,229,'Everybody Wants To Rule The World' by Tears For Fears (1985). Billboard Hot 100 peak: #1. Country of origin: ES. Release date: 2005-03-30. Match confidence: 100/100
1982-08-14,99,Ebony And Ivory,Paul McCartney And Stevie Wonder,92.0,1,19,1982,1980,3e21a183-2b89-450b-81c4-1d2af3bec636,Ebony and Ivory,Paul McCartney,,,100.0,230,'Ebony And Ivory' by Paul McCartney And Stevie Wonder (1982). Billboard Hot 100 peak: #1. Match confidence: 100/100
1973-08-25,1,Brother Louie,Stories,3.0,1,10,1973,1970,836f3129-7513-48c5-b121-a06a484b6bdc,Brother Louie,Stories,MX,2011-04-08,100.0,231,'Brother Louie' by Stories (1973). Billboard Hot 100 peak: #1. Country of origin: MX. Release date: 2011-04-08. Match confidence: 100/100
1976-05-22,1,Silly Love Songs,Wings,3.0,1,7,1976,1970,c405da08-21e1-42ee-9d6b-effc4f2b6cef,Silly Love Songs,Wings,US,2013-05-28,100.0,232,'Silly Love Songs' by Wings (1976). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2013-05-28. Match confidence: 100/100
1987-11-21,97,Didn't We Almost Have It All,Whitney Houston,79.0,1,17,1987,1980,9ae03a79-622a-41da-9b6e-69d237c7ca15,Didn’t We Almost Have It All,Whitney Houston,GB,,100.0,233,'Didn't We Almost Have It All' by Whitney Houston (1987). Billboard Hot 100 peak: #1. Country of origin: GB. Match confidence: 100/100
1971-08-28,21,It's Too Late/I Feel The Earth Move,Carole King,13.0,1,17,1971,1970,,,,,,,234,'It's Too Late/I Feel The Earth Move' by Carole King (1971). Billboard Hot 100 peak: #1
1964-12-05,1,Ringo,Lorne Greene,5.0,1,6,1964,1960,d21aa276-63fd-4429-ba59-c7a6ef1b9538,Ringo,Lorne Greene,US,1988,100.0,235,'Ringo' by Lorne Greene (1964). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1988. Match confidence: 100/100
1973-08-18,1,Touch Me In The Morning,Diana Ross,4.0,1,12,1973,1970,a525c31c-f84c-4c2f-a0c8-7811a4aff3aa,Touch Me in the Morning,Diana Ross,JP,2005-02-23,100.0,236,'Touch Me In The Morning' by Diana Ross (1973). Billboard Hot 100 peak: #1. Country of origin: JP. Release date: 2005-02-23. Match confidence: 100/100
1985-05-25,1,Everything She Wants,Wham!,4.0,1,10,1985,1980,f0eb31be-17f1-4fd7-acf0-464eeef0089d,Everything She Wants,Wham!,US,2002,100.0,237,'Everything She Wants' by Wham! (1985). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2002. Match confidence: 100/100
1976-05-15,1,Boogie Fever,The Sylvers,3.0,1,14,1976,1970,475f28a7-bae7-46aa-811a-e695b549ba64,Boogie Fever,The Sylvers,US,,100.0,238,'Boogie Fever' by The Sylvers (1976). Billboard Hot 100 peak: #1. Country of origin: US. Match confidence: 100/100
1982-09-11,97,Don't You Want Me,The Human League,87.0,1,28,1982,1980,0aea6c55-ad8f-440a-ab41-af6d67050b6a,Don't You Want Me,The Human League,GB,2006-10-09,100.0,239,'Don't You Want Me' by The Human League (1982). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2006-10-09. Match confidence: 100/100
1969-04-12,1,Aquarius/Let The Sunshine In (The Flesh Failures),The 5th Dimension,2.0,1,6,1969,1960,4dda62eb-9bdd-4915-a471-5749d70d227c,Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,US,2022-01-28,100.0,240,'Aquarius/Let The Sunshine In (The Flesh Failures)' by The 5th Dimension (1969). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2022-01-28. Match confidence: 100/100
1987-11-07,99,I Just Can't Stop Loving You,Michael Jackson With Siedah Garrett,77.0,1,14,1987,1980,bfcc0f29-112c-4a0f-8608-e23efe6627e9,I Just Can’t Stop Loving You,Michael Jackson,BE,2017-11-24,100.0,241,'I Just Can't Stop Loving You' by Michael Jackson With Siedah Garrett (1987). Billboard Hot 100 peak: #1. Country of origin: BE. Release date: 2017-11-24. Match confidence: 100/100
1985-07-13,1,A View To A Kill,Duran Duran,2.0,1,9,1985,1980,56697991-922b-408e-8912-5ac948ee1316,A View to a Kill,Duran Duran,,,100.0,242,'A View To A Kill' by Duran Duran (1985). Billboard Hot 100 peak: #1. Match confidence: 100/100
1975-04-12,50,Black Water,The Doobie Brothers,41.0,1,17,1975,1970,a3d5308d-7b05-4478-b174-0cf9509ad4c7,Black Water,The Doobie Brothers,XW,2019-06-28,100.0,243,'Black Water' by The Doobie Brothers (1975). Billboard Hot 100 peak: #1. Country of origin: XW. Release date: 2019-06-28. Match confidence: 100/100
1985-07-06,1,Sussudio,Phil Collins,2.0,1,9,1985,1980,74e6b05c-d9f0-4322-aee2-943aa4cbfa4c,Sussudio,Phil Collins,,,100.0,244,'Sussudio' by Phil Collins (1985). Billboard Hot 100 peak: #1. Match confidence: 100/100
1990-05-12,99,Escapade,Janet Jackson,71.0,1,17,1990,1990,89f1f03a-c83e-47b6-8493-37241cb70d73,Escapade,Janet Jackson,,,100.0,245,'Escapade' by Janet Jackson (1990). Billboard Hot 100 peak: #1. Match confidence: 100/100
1966-02-19,33,The Sound Of Silence,Simon & Garfunkel,25.0,1,14,1966,1960,af3ce352-b1d5-451a-a546-af1b9a361c76,The Sound of Silence,Simon & Garfunkel,US,,100.0,246,'The Sound Of Silence' by Simon & Garfunkel (1966). Billboard Hot 100 peak: #1. Country of origin: US. Match confidence: 100/100
1987-11-14,99,La Bamba,Los Lobos,69.0,1,21,1987,1980,5587ccb8-ff6b-4532-94c1-6d86ce50b062,La Bamba,Los Lobos,DE,1994,100.0,247,'La Bamba' by Los Lobos (1987). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 1994. Match confidence: 100/100
1982-06-19,100,I Love Rock 'N Roll,Joan Jett & the Blackhearts,99.0,1,20,1982,1980,a002daf2-f2a3-4365-9c42-36e908faad63,I Love Rock n’ Roll,Joan Jett & the Blackhearts,US,2012,100.0,248,'I Love Rock 'N Roll' by Joan Jett & the Blackhearts (1982). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2012. Match confidence: 100/100
1982-06-19,97,Chariots Of Fire - Titles,Vangelis,95.0,1,28,1982,1980,,,,,,,249,'Chariots Of Fire - Titles' by Vangelis (1982). Billboard Hot 100 peak: #1
1973-09-08,1,Let's Get It On,Marvin Gaye,2.0,1,9,1973,1970,04fbcef4-1196-49ad-a605-b67c07a29554,Let’s Get It On,Marvin Gaye,,,100.0,250,'Let's Get It On' by Marvin Gaye (1973). Billboard Hot 100 peak: #1. Match confidence: 100/100
1972-10-28,21,Baby Don't Get Hooked On Me,Mac Davis,7.0,1,18,1972,1970,8d9cacd0-028e-45df-b97a-7b9006b47d8d,Baby Don’t Get Hooked on Me,Mac Davis,US,1997-06,100.0,251,'Baby Don't Get Hooked On Me' by Mac Davis (1972). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1997-06. Match confidence: 100/100
1985-06-22,1,Heaven,Bryan Adams,2.0,1,10,1985,1980,b051f461-4925-4930-ac4d-93cadd8fc90b,Heaven,Bryan Adams,ZA,2010,100.0,252,'Heaven' by Bryan Adams (1985). Billboard Hot 100 peak: #1. Country of origin: ZA. Release date: 2010. Match confidence: 100/100
1964-12-12,1,Mr. Lonely,Bobby Vinton,2.0,1,7,1964,1960,8939886f-5649-4d01-b1f4-0c94533ffbe0,Mr. Lonely,Bobby Vinton,US,1966,100.0,253,'Mr. Lonely' by Bobby Vinton (1964). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1966. Match confidence: 100/100
1988-12-03,93,Sweet Child O' Mine,Guns N' Roses,85.0,1,24,1988,1980,d0a552ce-84ef-4b25-88f2-f2954ed5a542,Sweet Child o’ Mine,Guns N’ Roses,,,100.0,254,'Sweet Child O' Mine' by Guns N' Roses (1988). Billboard Hot 100 peak: #1. Match confidence: 100/100
1990-05-19,95,Opposites Attract,Paula Abdul (Duet With The Wild Pair),92.0,1,23,1990,1990,03136868-1345-493e-92c8-2d977cfda4f7,Opposites Attract,Paula Abdul,GB,2007,100.0,255,'Opposites Attract' by Paula Abdul (Duet With The Wild Pair) (1990). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2007. Match confidence: 100/100
1982-03-27,95,Physical,Olivia Newton-John,56.0,1,26,1982,1980,0ef6e09f-0dbe-4401-8244-5d1fb0fca239,Physical,Olivia Newton‐John,US,2021-10-22,100.0,256,'Physical' by Olivia Newton-John (1982). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2021-10-22. Match confidence: 100/100
1964-12-26,1,I Feel Fine,The Beatles,2.0,1,4,1964,1960,d3a3d0c4-f27d-4d81-961d-4a35e620f688,I Feel Fine,The Beatles,JP,1987,100.0,257,'I Feel Fine' by The Beatles (1964). Billboard Hot 100 peak: #1. Country of origin: JP. Release date: 1987. Match confidence: 100/100
1975-04-05,59,Best Of My Love,Eagles,38.0,1,19,1975,1970,1dcd511c-6dd3-4641-a49f-ebf6b0f981bf,Best of My Love,Eagles,,,100.0,258,'Best Of My Love' by Eagles (1975). Billboard Hot 100 peak: #1. Match confidence: 100/100
1982-04-03,100,I Can't Go For That (No Can Do),Daryl Hall John Oates,57.0,1,21,1982,1980,,,,,,,259,'I Can't Go For That (No Can Do)' by Daryl Hall John Oates (1982). Billboard Hot 100 peak: #1
1988-04-23,1,Where Do Broken Hearts Go,Whitney Houston,3.0,1,9,1988,1980,13cde87d-687f-4113-af15-bda1fdd4a95f,Where Do Broken Hearts Go,Whitney Houston,GB,2026-03-27,100.0,260,'Where Do Broken Hearts Go' by Whitney Houston (1988). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2026-03-27. Match confidence: 100/100
1976-07-17,88,Ode To Billie Joe,Bobbie Gentry,,1,15,1976,1970,59c028a5-e5fb-4cef-a9d1-ee4d90fdf596,Ode to Billie Joe,Bobbie Gentry,NL,2025,100.0,261,'Ode To Billie Joe' by Bobbie Gentry (1976). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 2025. Match confidence: 100/100
1966-11-26,44,Cherish,The Association,36.0,1,14,1966,1960,aa673ce6-ad5f-47ee-af56-6f431b9b3106,Cherish,The Association,XE,1994,100.0,262,'Cherish' by The Association (1966). Billboard Hot 100 peak: #1. Country of origin: XE. Release date: 1994. Match confidence: 100/100
1982-04-24,99,Centerfold,The J. Geils Band,89.0,1,25,1982,1980,e86085a0-2942-45ea-b817-7376ffb3ebd4,Centerfold,The J. Geils Band,AU,2010-07-23,100.0,263,'Centerfold' by The J. Geils Band (1982). Billboard Hot 100 peak: #1. Country of origin: AU. Release date: 2010-07-23. Match confidence: 100/100
1989-03-04,1,Lost In Your Eyes,Debbie Gibson,2.0,1,7,1989,1980,5239c064-6de6-411f-9b36-614a9d5c504f,Lost in Your Eyes,Debbie Gibson,,,100.0,264,'Lost In Your Eyes' by Debbie Gibson (1989). Billboard Hot 100 peak: #1. Match confidence: 100/100
1976-07-10,1,Afternoon Delight,Starland Vocal Band,2.0,1,10,1976,1970,e061e41e-f872-4b47-b269-4f706d768bca,Afternoon Delight,Starland Vocal Band,NL,2008,100.0,265,'Afternoon Delight' by Starland Vocal Band (1976). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 2008. Match confidence: 100/100
1959-02-23,71,The Chipmunk Song,The Chipmunks With David Seville,40.0,1,13,1959,1950,91d763b7-3e00-4059-90b3-e1023d28d27f,The Chipmunk Song,The Chipmunks,US,1958,100.0,266,'The Chipmunk Song' by The Chipmunks With David Seville (1959). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1958. Match confidence: 100/100
1962-05-05,1,Soldier Boy,The Shirelles,4.0,1,7,1962,1960,d1b1f8e5-75fb-400f-8b31-c4c7f772c628,Soldier Boy,The Shirelles,AU,,100.0,267,'Soldier Boy' by The Shirelles (1962). Billboard Hot 100 peak: #1. Country of origin: AU. Match confidence: 100/100
1972-02-19,1,Without You,Nilsson,3.0,1,10,1972,1970,a6f2b581-0745-4201-af34-f3b01a02f985,Without You,Nilsson,US,1995,100.0,268,'Without You' by Nilsson (1972). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 1995. Match confidence: 100/100
1964-12-19,1,Come See About Me,The Supremes,4.0,1,6,1964,1960,a5d0443c-17c7-4bb6-8afe-18242854bacf,Come See About Me,The Supremes,US,2005-06-21,100.0,269,'Come See About Me' by The Supremes (1964). Billboard Hot 100 peak: #1. Country of origin: US. Release date: 2005-06-21. Match confidence: 100/100
1989-07-22,1,Toy Soldiers,Martika,4.0,1,10,1989,1980,927a8e94-9300-48c1-8021-d0001393fb00,Toy Soldiers,Martika,GB,2013-10-28,100.0,270,'Toy Soldiers' by Martika (1989). Billboard Hot 100 peak: #1. Country of origin: GB. Release date: 2013-10-28. Match confidence: 100/100
1973-09-15,1,Delta Dawn,Helen Reddy,3.0,1,13,1973,1970,fb434e85-a289-4821-88e9-8853579d8bcd,Delta Dawn,Helen Reddy,NL,1989,100.0,271,'Delta Dawn' by Helen Reddy (1973). Billboard Hot 100 peak: #1. Country of origin: NL. Release date: 1989. Match confidence: 100/100
1982-01-30,97,Private Eyes,Daryl Hall John Oates,67.0,1,23,1982,1980,,,,,,,272,'Private Eyes' by Daryl Hall John Oates (1982). Billboard Hot 100 peak: #1
1971-07-24,38,Want Ads,The Honey Cone,20.0,1,16,1971,1970,,,,,,,273,'Want Ads' by The Honey Cone (1971). Billboard Hot 100 peak: #1
1973-10-06,1,Half-Breed,Cher,3.0,1,10,1973,1970,8f2fda9e-b374-4fc5-8298-0cf25c2a3f6c,Half Breed,Cher,DE,1995,100.0,274,'Half-Breed' by Cher (1973). Billboard Hot 100 peak: #1. Country of origin: DE. Release date: 1995. Match confidence: 100/100
1975-03-29,66,Pick Up The Pieces,AWB,41.0,1,17,1975,1970,80ee369d-e5d6-41f2-8b13-4acd2fe8d365,Pick Up The Pieces (Conan Liquid Crates Motel Quarter Inch Edit),AWB,XW,2020-05-26,100.0,275,'Pick Up The Pieces' by AWB (1975). Billboard Hot 100 peak: #1. Country of origin: XW. Release date: 2020-05-26. Match confidence: 100/100
1959-08-10,1,A Big Hunk O' Love,Elvis Presley With The Jordanaires,2.0,1,6,1959,1950,,,,,,,276,'A Big Hunk O' Love' by Elvis Presley With The Jordanaires (1959). Billboard Hot 100 peak: #1
1960-04-25,1,Stuck On You,Elvis Presley With The Jordanaires,6.0,1,4,1960,1960,5decfc70-a945-446b-a721-982925da3b2f,Stuck on You,Elvis Presley,,,100.0,277,'Stuck On You' by Elvis Presley With The Jordanaires (1960). Billboard Hot 100 peak: #1. Match confidence: 100/100
